London Borough,Band A,£ Band A,Band B,£ Band B,Band C,£ Band C,Band D,£ Band D,Band E,£ Band E,Band F,£ Band F,Band G,£ Band G,Band H,£ Band H,Median House Price,No of households(est. )
Barking & Dagenham,6316,887.78,10751,1035.74,43180,1183.7,8990,1331.67,1649,1627.6,330,1923.52,38,2219.45,18,2663.34,215000.0032,4700.0033
Barnet,3382,931.38,9730,1086.6,27526,1241.84,32576,1397.07,29617,1707.53,18895,2017.99,15468,2328.45,3969,2794.14,400000.0031,74010.0032
Bexley,4236,963.69,10197,1124.3,28365,1284.92,26667,1445.53,19119,1766.76,4706,2087.99,1678,2409.22,47,2891.06,250000.003,144180.0031
Brent,3394,902.63,12196,1053.06,33564,1203.5,31568,1353.94,21366,1654.82,6139,1955.69,3272,2256.57,232,2707.88,385000.0029,95180.003
Bromley,1760,883.43,9708,1030.66,28032,1177.9,35247,1325.14,28633,1619.62,17612,1914.09,13317,2208.57,1414,2650.28,335000.0028,115420.0029
Camden,3506,891.32,10999,1039.74,19237,1188.27,24079,1336.81,16862,1633.88,10543,1930.95,11676,2228.02,4315,2673.62,675000.0027,136660.0028
City of London,9,628.96,259,733.79,652,838.61,853,943.44,2519,1153.09,1049,1362.75,987,1572.4,144,1886.88,765000.0033,102840.0027
Croydon,2691,977.6,21180,1140.52,46166,1303.46,37437,1466.39,21425,1792.26,11378,2118.12,7345,2443.99,611,2932.78,265000.0026,152750.0026
Ealing,3917,903.29,12394,1053.83,31005,1204.38,42809,1354.93,22064,1656.03,9547,1957.12,6700,2258.22,926,2709.86,388000.0025,128740.0025
Enfield,5163,930.23,11192,1085.26,32992,1240.3,35788,1395.34,20547,1705.42,8967,2015.49,5785,2325.57,878,2790.68,285000.0024,125650.0024
Greenwich,10264,850.61,20150,992.37,38823,1134.14,20887,1275.91,10383,1559.45,3168,1842.98,2030,2126.52,321,2551.82,317000.0023,107210.0023
Hackney,5472,862.3,30869,1006.01,32442,1149.73,20535,1293.45,10597,1580.89,4030,1868.32,1106,2155.75,47,2586.9,433000.0022,108730.0022
Hammersmith & Fulham,3396,681.88,5579,795.51,13662,909.16,23812,1022.81,14692,1250.11,8739,1477.39,10542,1704.69,2091,2045.62,661000.0021,80630.0021
Haringey,7228,986.23,18006,1150.58,32646,1314.95,25564,1479.32,10566,1807.95,5360,2136.81,4602,2465.54,667,2958.65,405000.002,109030.002
Harrow,548,1019.57,3277,1189.5,18811,1359.43,27585,1529.36,21574,1869.22,7705,2209.08,6002,2548.93,1147,3058.72,370000.0019,88720.0019
Havering,5027,1009.33,10454,1177.56,26159,1345.78,34929,1514,14869,1850.44,6260,2186.89,3009,2523.33,299,3028,250000.0018,100110.0018
Hillingdon,843,938.62,5460,1095.05,23001,1251.49,44391,1407.93,17865,1720.81,9395,2033.68,4492,2346.55,411,2815.86,307000.0017,106600.0017
Hounslow,1951,916.52,8536,1069.26,25409,1222.02,36942,1374.77,14508,1680.28,5462,1985.78,3795,2291.29,847,2749.54,319950.0016,101290.0016
Islington,1747,850.67,5843,992.45,28705,1134.23,30911,1276.01,16690,1559.57,8297,1843.12,6592,2126.69,866,2552.02,530000.0015,99590.0015
Kensington & Chelsea,1491,708.22,3434,826.25,9219,944.29,13216,1062.33,12731,1298.41,11386,1534.48,18817,1770.55,14381,2124.66,1195000.001,77910.0014
Kingston upon Thames,427,1115.98,2857,1301.97,14192,1487.97,19172,1673.97,14190,2045.97,7949,2417.96,3942,2789.95,910,3347.94,385000.0013,66870.0013
Lambeth,4657,825.8,31874,963.43,39311,1101.06,29838,1238.7,13995,1513.97,8724,1789.23,5232,2064.5,790,2477.4,420000.0012,137930.0012
Lewisham,7246,903.57,32676,1054.16,42352,1204.75,25341,1355.35,7245,1656.34,2731,1957.73,1283,2258.92,177,2710.7,315000.0011,123760.0011
Merton,989,931.5,8000,1086.75,21828,1242,27268,1397.25,12934,1707.75,5176,2018.25,3911,2328.75,1623,2794.5,385000.001,82100.001
Newham,4745,827.09,31241,964.93,47826,1102.78,18874,1240.63,3137,1516.33,705,1792.02,105,2067.72,23,2481.26,250000.0009,110240.0009
Redbridge,1780,929.68,12263,1084.64,25526,1239.58,31462,1394.53,19074,1704.42,7266,2014.32,3146,2324.21,196,2789.06,301500.0008,105290.0008
Richmond upon Thames,563,1054.93,2082,1230.75,12609,1406.57,19873,1582.39,19486,1934.03,11652,2285.67,12438,2637.32,3303,3164.78,535000.0007,82890.0007
Southwark,11179,804.76,36210,938.88,32973,1073.01,21750,1207.14,14766,1475.4,5917,1743.65,4058,2011.9,586,2414.28,420000.0006,127450.0006
Sutton,785,972.4,7077,1134.46,26089,1296.53,23488,1458.6,12144,1782.74,6799,2106.87,3644,2431,262,2917.2,285000.0005,82670.0005
Tower Hamlets,1513,787.02,24348,918.18,35291,1049.35,23312,1180.52,17240,1442.86,7936,1705.19,3107,1967.54,490,2361.04,383000.0004,112280.0004
Waltham Forest,3848,964.81,28693,1125.61,34146,1286.41,22389,1447.21,8080,1773.7,1776,2090.41,420,2412.02,29,2894.42,320000.0003,102230.0003
Wandsworth,5969,451.77,12144,527.05,35582,602.35,31741,677.65,21169,828.24,14341,978.82,12264,1129.41,2576,1355.29,532500.0002,134390.0002
Westminster,1665,448.5,6368,523.24,15500,597.99,22023,672.74,21627,822.24,16298,971.73,20873,1121.24,14236,1345.48,875000.0001,112360.0001
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
448.5,,,,,,,,,,,,,,,,,,
2789.95,,,,,,,,,,,,,,,,,,